T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},CMA_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},CMA_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},Ge_{Total},Demand,Deficit,Cost_{var},Cost_{def},Cost_{total},CMO,FC
1,29.473684,86.526316,28.0,0.0,0.3,80.0,40.0,72.0,25.0,-0.3,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.31578947,271806.16
2,60.0,20.0,57.0,20.526316,-0.3,12.0,40.0,10.8,0.0,450.0,30.0,20.0,117.8,120.0,2.2,800.0,1100.0,1900.0,500.0,269900.0
3,11.0,20.0,10.45,0.0,475.0,10.0,40.0,9.0,0.0,450.0,30.0,20.0,69.45,150.0,80.55,800.0,40275.0,41075.0,500.0,228825.0
4,16.0,20.0,15.2,0.0,475.0,15.0,40.0,13.5,0.0,450.0,30.0,20.0,78.7,100.0,21.3,800.0,10650.0,11450.0,500.0,217375.0
5,14.0,20.0,13.3,0.0,475.0,12.0,40.0,10.8,0.0,450.0,30.0,20.0,74.1,120.0,45.9,800.0,22950.0,23750.0,500.0,193625.0
6,11.0,20.0,10.45,0.0,475.0,10.0,40.0,9.0,0.0,450.0,30.0,20.0,69.45,150.0,80.55,800.0,40275.0,41075.0,500.0,152550.0
7,16.0,20.0,15.2,0.0,475.0,15.0,40.0,13.5,0.0,450.0,30.0,20.0,78.7,100.0,21.3,800.0,10650.0,11450.0,500.0,141100.0
8,14.0,20.0,13.3,0.0,475.0,12.0,40.0,10.8,0.0,450.0,30.0,20.0,74.1,120.0,45.9,800.0,22950.0,23750.0,500.0,117350.0
9,11.0,20.0,10.45,0.0,475.0,10.0,40.0,9.0,0.0,450.0,30.0,20.0,69.45,150.0,80.55,800.0,40275.0,41075.0,500.0,76275.0
10,16.0,20.0,15.2,0.0,475.0,15.0,40.0,13.5,0.0,450.0,30.0,20.0,78.7,100.0,21.3,800.0,10650.0,11450.0,500.0,64825.0
11,14.0,20.0,13.3,0.0,475.0,12.0,40.0,10.8,0.0,450.0,30.0,20.0,74.1,120.0,45.9,800.0,22950.0,23750.0,500.0,41075.0
12,11.0,20.0,10.45,0.0,475.0,10.0,40.0,9.0,0.0,450.0,30.0,20.0,69.45,150.0,80.55,800.0,40275.0,41075.0,500.0,0.0
