T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{def},Cost_{total},CMO
1,16.0,100.0,15.2,0.0,0.0,145.0,0.0,0.0,29.8,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,298.0,0.0,298.0,10.0
2,47.368421,66.631579,45.0,0.0,0.0,157.0,0.0,0.0,30.0,0.0,25.0,20.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0
3,52.631579,25.0,50.0,0.0,0.0,167.0,0.0,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,300.0,0.0,300.0,25.0
4,15.789474,25.210526,15.0,0.0,0.0,182.0,0.0,0.0,30.0,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,300.0,0.0,300.0,25.0
5,19.210526,20.0,18.25,0.0,40.833333,153.16667,36.75,0.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0
6,11.0,20.0,10.45,0.0,43.944444,119.22222,39.55,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,300.0,0.0,300.0,25.0
7,15.789474,20.210526,15.0,0.0,0.0,134.22222,0.0,0.0,30.0,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,300.0,0.0,300.0,25.0
8,0.0,34.210526,0.0,0.0,61.111111,85.111111,55.0,0.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0
9,25.210526,20.0,23.95,0.0,28.944444,66.166667,26.05,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,300.0,0.0,300.0,25.0
10,16.0,20.0,15.2,0.0,17.333333,63.833333,15.6,0.0,30.0,4.2,25.0,10.0,100.0,100.0,0.0,100.0,0.0,405.0,0.0,405.0,25.0
11,2.8947368,31.105263,2.75,0.0,35.833333,40.0,32.25,0.0,30.0,20.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,800.0,0.0,800.0,25.0
12,22.105263,20.0,21.0,0.0,10.0,40.0,9.0,0.0,30.0,20.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,800.0,0.0,800.0,25.0
