D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},CMA_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},CMA_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{def},Cost_{total},CMO,FC
9.5,0.0,9.5,50.0,1,16.0,100.0,15.2,0.0,9.5,0.0,145.0,0.0,0.0,22.5,20.3,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,203.0,0.0,203.0,10.0,4405.0
0.0,0.0,0.0,50.0,2,14.0,100.0,13.3,0.0,23.75,13.0,144.0,11.7,0.0,22.5,30.0,20.0,25.0,20.0,120.0,120.0,0.0,120.0,0.0,800.0,0.0,800.0,25.0,3605.0
0.0,0.0,0.0,50.0,3,11.210526,99.789474,10.65,0.0,23.75,21.5,132.5,19.35,0.0,22.5,30.0,20.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,800.0,0.0,800.0,25.0,2805.0
0.0,0.0,0.0,50.0,4,15.789474,100.0,15.0,0.0,9.5,0.0,147.5,0.0,0.0,22.5,30.0,0.0,30.0,25.0,100.0,100.0,0.0,100.0,0.0,300.0,0.0,300.0,10.0,2505.0
0.0,0.0,0.0,50.0,5,14.0,100.0,13.3,0.0,23.75,46.333333,113.16667,41.7,0.0,22.5,30.0,0.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0,2205.0
0.0,0.0,0.0,50.0,6,11.210528,99.789472,10.650001,0.0,23.75,39.055564,84.111106,35.150007,0.0,22.5,30.0,4.1999913,40.0,30.0,149.9999993,150.0,0.0,150.0,0.0,404.9997825,0.0,404.9997825,25.0,1800.0001
0.0,0.0,0.0,50.0,7,15.789472,100.0,14.999998,0.0,23.75,0.0,99.111104,0.0,0.0,22.5,30.0,0.0,30.0,25.0,99.9999996,100.0,0.0,100.0,0.0,300.0,0.0,300.0,25.0,1500.0002
0.0,0.0,0.0,50.0,8,14.0,100.0,13.3,0.0,23.75,46.333333,64.777771,41.7,0.0,22.5,30.0,0.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,25.0,1200.0002
0.0,0.0,0.0,50.0,9,19.68421,91.31579,18.699999,0.0,23.75,34.777771,40.0,31.299994,0.0,22.5,30.0,0.0,40.0,30.0,149.9999997166667,150.0,0.0,150.0,0.0,300.0001679166675,0.0,300.0001679166675,25.0,899.99999
0.0,0.0,0.0,50.0,10,22.631579,84.684211,21.5,0.0,23.75,15.0,40.0,13.5,0.0,22.5,30.0,0.0,25.0,10.0,100.00000016666662,100.0,0.0,100.0,0.0,300.0000041666655,0.0,300.0000041666655,25.0,599.99999
0.0,0.0,0.0,50.0,11,46.526316,52.157895,44.2,0.0,9.5,12.0,40.0,10.8,0.0,9.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,120.0,0.0,300.0,0.0,300.0,10.0,300.0
0.0,0.0,0.0,50.0,12,43.157895,20.0,41.0,0.0,9.5,10.0,40.0,9.0,0.0,9.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,150.0,0.0,300.0,0.0,300.0,10.0,0.0
