T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},CMA_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},CMA_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},Ge_{Total},Demand,Deficit,Cost_{var},Cost_{def},Cost_{total},CMO,FC
1,37.368421,78.631579,35.5,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,9.5,0.0,9.5,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3658.0
2,60.0,52.631579,57.0,0.0,0.0,20.0,137.0,18.0,0.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,50.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,3658.0
3,60.0,29.187135,57.0,0.0,0.0,25.555556,121.44444,23.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,50.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,3658.0
4,36.577525,20.0,34.748649,0.0,0.0,11.39039,125.05405,10.251351,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3658.0
5,52.756757,20.0,50.118919,0.0,0.0,38.756757,98.297293,34.881081,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,50.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,3658.0
6,48.594595,20.0,46.164865,0.0,0.0,37.594595,70.702698,33.835135,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,50.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,3658.0
7,32.108108,20.0,30.502703,0.0,0.0,16.108108,69.59459,14.497297,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3658.0
8,55.59459,20.0,52.81486,0.0,0.0,41.59459,40.0,37.435131,0.0,0.0,0.0,0.0,25.0,4.7500085,0.0,0.0,0.0,50.0,119.9999995,120.0,0.0,0.0,0.0,0.0,0.0,3658.0
9,21.0,20.0,19.95,0.0,475.0,10.0,40.0,9.0,0.0,925.0,30.0,20.0,40.0,30.0,0.0,0.0,0.0,50.0,148.95,150.0,1.05,800.0,525.0,1325.0,500.0,2333.0
10,31.0,20.0,29.45,0.0,9.5,15.0,40.0,13.5,0.0,18.5,22.05,0.0,25.0,10.0,0.0,0.0,0.0,50.0,100.0,100.0,0.0,220.5,0.0,220.5,10.0,2112.5
11,26.0,20.0,24.7,0.0,23.75,12.0,40.0,10.8,0.0,46.25,30.0,19.5,25.0,10.0,0.0,0.0,0.0,50.0,120.0,120.0,0.0,787.5,0.0,787.5,25.0,1325.0
12,21.0,20.0,19.95,0.0,475.0,10.0,40.0,9.0,0.0,925.0,30.0,20.0,40.0,30.0,0.0,0.0,0.0,50.0,148.95,150.0,1.05,800.0,525.0,1325.0,500.0,0.0
