D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},Ge_{Total},Demand,Deficit,Cost_{var},Cost_{def},Cost_{total},CMO
0.0,0.0,0.0,60.0,1,47.368421,68.631579,45.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,30.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,10.0
9.5,0.0,9.5,50.0,2,60.0,32.076023,57.0,0.0,9.4444444,147.55556,8.5,0.0,0.0,0.0,25.0,20.0,120.0,120.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,3,54.469417,20.0,51.745946,0.0,31.393393,126.16216,28.254054,0.0,0.0,0.0,40.0,30.0,150.0,150.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,4,32.108108,20.0,30.502703,0.0,16.108108,125.05405,14.497297,0.0,0.0,0.0,30.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,5,52.756757,20.0,50.118919,0.0,38.756757,98.297297,34.881081,0.0,0.0,0.0,25.0,10.0,120.0,120.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,6,48.594595,20.0,46.164865,0.0,37.594595,70.702703,33.835135,0.0,0.0,0.0,40.0,30.0,150.0,150.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,7,22.162162,20.0,21.054054,0.0,6.1621622,79.540541,5.5459459,0.0,18.4,0.0,30.0,25.0,99.9999999,100.0,0.0,184.0,0.0,184.0,10.0
0.0,0.0,0.0,50.0,8,36.540541,20.0,34.713514,0.0,22.540541,69.0,20.286486,0.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,300.0,0.0,300.0,10.0
0.0,0.0,0.0,50.0,9,32.378378,20.0,30.759459,0.0,21.378378,57.621622,19.240541,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,300.0,0.0,300.0,10.0
0.0,0.0,0.0,50.0,10,26.702703,20.0,25.367568,0.0,10.702703,61.918919,9.6324324,0.0,30.0,0.0,25.0,10.0,100.0000004,100.0,0.0,300.0,0.0,300.0,10.0
0.0,0.0,0.0,50.0,11,36.540541,20.0,34.713514,0.0,22.540541,51.378378,20.286486,0.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,300.0,0.0,300.0,10.0
0.0,0.0,0.0,50.0,12,32.378378,20.0,30.759459,0.0,21.378378,40.0,19.240541,0.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,300.0,0.0,300.0,10.0
