T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},U_{UT_{1}},Y_{UT_{1}},W_{UT_{1}},G_{t_{UT_{2}}},U_{UT_{2}},Y_{UT_{2}},W_{UT_{2}},G_{t_{UT_{3}}},U_{UT_{3}},Y_{UT_{3}},W_{UT_{3}},G_{t_{UT_{4}}},U_{UT_{4}},Y_{UT_{4}},W_{UT_{4}},G_{t_{UT_{5}}},U_{UT_{5}},Y_{UT_{5}},W_{UT_{5}},G_{t_{UT_{6}}},U_{UT_{6}},Y_{UT_{6}},W_{UT_{6}},G_{t_{UT_{7}}},U_{UT_{7}},Y_{UT_{7}},W_{UT_{7}},G_{t_{UT_{8}}},U_{UT_{8}},Y_{UT_{8}},W_{UT_{8}},G_{t_{UT_{9}}},U_{UT_{9}},Y_{UT_{9}},W_{UT_{9}},G_{t_{UT_{10}}},U_{UT_{10}},Y_{UT_{10}},W_{UT_{10}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{start},Cost_{def},Cost_{t}
1,600.0,2498.56,552.0,0.0,160.86956521739162,5003.380869565218,148.0000000000003,0.0,0.0,0,0,1,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,700.0,700.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
2,600.0,2497.156,552.0,0.0,215.2173913043478,5006.494086956523,198.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,750.0,750.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0
3,600.0,2495.788,552.0,0.0,323.9130434782609,5009.144000000001,298.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,850.0,850.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0
4,600.0,2494.456,552.0,0.0,432.6086956521739,5011.330608695654,398.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,950.0,950.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0
5,600.0,2493.1600000000003,552.0,0.0,486.9565217391304,5013.249565217393,447.99999999999994,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
6,600.0,2491.9,552.0,0.0,500.0,5015.049565217393,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,88.0,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1100.0,1100.0,0.0,1100.0,0.0,2148.3398400000046,560.0000000000055,0.0,2708.33984000001
7,600.0,2490.676,552.0,0.0,500.0,5016.777565217393,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,117.99999999999994,1,0,0,0.0,0,0,0,20.0,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1150.0,1150.0,0.0,1150.0,0.0,3474.4276400000026,169.9999999999966,0.0,3644.427639999999
8,600.0,2489.488,552.0,0.0,500.0,5018.433565217393,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,130.00000000000023,1,0,0,0.0,0,0,0,57.99999999999979,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1200.0,1200.0,0.0,1200.0,0.0,4545.69068,0.0,0.0,4545.690680000003
9,600.0,2488.336,552.0,0.0,500.0,5020.017565217393,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,130.00000000000023,1,0,0,0.0,0,0,0,80.00000000000105,1,0,0,0.0,0,0,0,27.99999999999872,1,1,0,0.0,0,0,0,0.0,0,0,0,1250.0,1250.0,0.0,1250.0,0.0,6446.024920000002,29.999999999999023,0.0,6476.024920000001
10,600.0,2487.22,552.0,0.0,500.0,5021.529565217393,460.0,0.0,307.99999999999886,1,1,0,0.0,0,0,0,0.0,0,0,0,80.00000000000114,1,0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,1400.0,1400.0,0.0,1400.0,0.0,8045.558720000002,4500.0,0.0,12545.55872
11,600.0,2486.14,552.0,0.0,500.0,5022.969565217392,460.0,0.0,357.99999999999886,1,0,0,0.0,0,0,0,0.0,0,0,0,130.00000000000108,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1500.0,1500.0,0.0,1500.0,0.0,9718.197720000015,0.0,0.0,9718.197720000015
12,600.0,2485.096,552.0,0.0,500.0,5024.481565217392,460.0,0.0,388.0,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1400.0,1400.0,0.0,1400.0,0.0,7353.98112,0.0,0.0,7353.98112
13,600.0,2484.088,552.0,0.0,500.0,5026.065565217392,460.0,0.0,387.9999999999997,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1400.0,1400.0,0.0,1400.0,0.0,7353.981119999997,0.0,0.0,7353.981119999992
14,600.0,2483.116,552.0,0.0,445.6521739130438,5027.917217391305,410.0000000000003,0.0,337.9999999999997,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1300.0,1300.0,0.0,1300.0,0.0,6527.057119999997,0.0,0.0,6527.057120000005
15,600.0,2482.216,552.0,0.0,500.0,5029.645217391305,460.0,0.0,387.99999999999943,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1400.0,1400.0,0.0,1400.0,0.0,7353.98112,0.0,0.0,7353.98112
16,600.0,2480.9559999999997,552.0,0.0,500.0,5031.445217391305,460.0,0.0,437.99999999999943,1,0,0,0.0,0,0,0,117.0,1,1,0,0.0,0,0,0,33.00000000000058,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1600.0,1600.0,0.0,1600.0,0.0,11957.317340000005,1450.0000000000034,0.0,13407.317339999994
17,600.0,2479.66,552.0,0.0,500.0,5033.317217391305,460.0,0.0,455.0,1,0,0,0.0,0,0,0,130.0,1,0,0,0.0,0,0,0,83.00000000000058,1,0,0,19.99999999999989,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1700.0,1700.0,0.0,1700.0,0.0,14288.188219999996,169.99999999999702,0.0,14458.188219999993
18,600.0,2478.328,552.0,0.0,500.0,5035.261217391306,460.0,0.0,454.9999999999998,1,0,0,0.0,0,0,0,130.0,1,0,0,130.00000000000003,1,1,0,133.00000000000077,1,0,0,39.999999999999474,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1900.0,1900.0,0.0,1900.0,0.0,18630.57521999999,560.000000000003,0.0,19190.57522000001
19,600.0,2476.96,552.0,0.0,500.0,5037.277217391305,460.0,0.0,455.0,1,0,0,0.0,0,0,0,130.00000000000003,1,0,0,130.00000000000003,1,0,0,162.0000000000003,1,0,0,80.00000000000001,1,0,0,0.0,0,0,0,31.000000000000135,1,1,0,0.0,0,0,0,0.0,0,0,0,2000.0,2000.0,0.0,2000.0,0.0,21627.989049999953,29.999999999998092,0.0,21657.989049999964
