D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},U_{UT_{1}},Y_{UT_{1}},W_{UT_{1}},G_{t_{UT_{2}}},U_{UT_{2}},Y_{UT_{2}},W_{UT_{2}},G_{t_{UT_{3}}},U_{UT_{3}},Y_{UT_{3}},W_{UT_{3}},G_{t_{UT_{4}}},U_{UT_{4}},Y_{UT_{4}},W_{UT_{4}},G_{t_{UT_{5}}},U_{UT_{5}},Y_{UT_{5}},W_{UT_{5}},G_{t_{UT_{6}}},U_{UT_{6}},Y_{UT_{6}},W_{UT_{6}},G_{t_{UT_{7}}},U_{UT_{7}},Y_{UT_{7}},W_{UT_{7}},G_{t_{UT_{8}}},U_{UT_{8}},Y_{UT_{8}},W_{UT_{8}},G_{t_{UT_{9}}},U_{UT_{9}},Y_{UT_{9}},W_{UT_{9}},G_{t_{UT_{10}}},U_{UT_{10}},Y_{UT_{10}},W_{UT_{10}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{start},Cost_{def},Cost_{t}
0.0,-150.0,-150.0,542.5,1,304.3478260869565,2499.6243478260867,280.0,0.0,500.0,5001.095652173913,460.0,0.0,0.0,0,0,1,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.0,0.0,700.0,700.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
0.0,-150.0,-150.0,685.0,2,600.0,2498.2203478260867,552.0,0.0,378.2608695652174,5003.621913043477,348.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,750.0,750.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0
0.0,-150.0,-150.0,827.5,3,600.0,2496.8523478260868,552.0,0.0,486.9565217391304,5005.684869565217,447.99999999999994,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,850.0,850.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0
0.0,-150.0,-150.0,970.0,4,600.0,2495.520347826087,552.0,0.0,500.0,5007.628869565217,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,88.0,0.0,950.0,950.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0
0.0,-112.0,-112.0,1076.4,5,600.0,2494.224347826087,552.0,0.0,500.0,5009.500869565218,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,100.0,0.0,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,3.0,1073.242105263158,6,600.0,2492.964347826087,552.0,0.0,500.0,5011.300869565218,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,85.0,0.0,1100.0,1100.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,18.0,1054.2947368421053,7,600.0,2491.7403478260867,552.0,0.0,500.0,5013.028869565218,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.0,40.0,1150.0,1150.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,63.0,987.9789473684211,8,600.0,2490.5523478260866,552.0,0.0,500.0,5014.684869565218,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,60.0,65.0,1200.0,1200.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,93.0,890.0842105263159,9,600.0,2489.4003478260865,552.0,0.0,500.0,5016.268869565218,460.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,55.0,90.0,1250.0,1250.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,890.0842105263149,10,600.0,2488.2843478260866,552.0,0.0,500.0,5017.7808695652175,460.0,0.0,217.99999999999886,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,50.0,120.0,1400.0,1400.0,0.0,1400.0,0.0,4552.231519999985,4499.999999999989,0.0,9052.23151999995
