D_{{s_{BAT_{1}}}{p_{Ponta}}},C_{{s_{BAT_{1}}}{p_{Ponta}}},G_{{s_{BAT_{1}}}{p_{Ponta}}},E_{{s_{BAT_{1}}}{p_{Ponta}}},D_{{s_{BAT_{1}}}{p_{Fora}}},C_{{s_{BAT_{1}}}{p_{Fora}}},G_{{s_{BAT_{1}}}{p_{Fora}}},E_{{s_{BAT_{1}}}{p_{Fora}}},Y_{b_{BAT_{1}}},X_{b_{BAT_{1}}},G_{{g_{UHE_{1}}}{p_{Ponta}}},G_{{g_{UHE_{1}}}{p_{Fora}}},Y_{g_{UHE_{1}}},X_{g_{UHE_{1}}},G_{{g_{UHE_{2}}}{p_{Ponta}}},G_{{g_{UHE_{2}}}{p_{Fora}}},Y_{g_{UHE_{2}}},X_{g_{UHE_{2}}},G_{{g_{UTE_{1}}}{p_{Ponta}}},G_{{g_{UTE_{1}}}{p_{Fora}}},Y_{g_{UTE_{1}}},X_{g_{UTE_{1}}},G_{{g_{UTE_{2}}}{p_{Ponta}}},G_{{g_{UTE_{2}}}{p_{Fora}}},Y_{g_{UTE_{2}}},X_{g_{UTE_{2}}},G_{{g_{SOL_{1}}}{p_{Ponta}}},G_{{g_{SOL_{1}}}{p_{Fora}}},Y_{g_{SOL_{1}}},X_{g_{SOL_{1}}},G_{{g_{EOL_{1}}}{p_{Ponta}}},G_{{g_{EOL_{1}}}{p_{Fora}}},Y_{g_{EOL_{1}}},X_{g_{EOL_{1}}},Ge_{Total}{Ponta},Demand_{Total}{Ponta},DemandBar_{{CB_{BAR_{1}}}{p_{Ponta}}},DeficitBar_{{CB_{BAR_{1}}}{p_{Ponta}}},Ge_{Total}{Fora},Demand_{Total}{Fora},DemandBar_{{CB_{BAR_{1}}}{p_{Fora}}},DeficitBar_{{CB_{BAR_{1}}}{p_{Fora}}},Cost_{var},Cost_{inv},CMO_{avg},CME_{avg}
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200,200,0.0,100.0,100,100,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350,350,0.0,150.0,150,150,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350,350,0.0,200.0,200,200,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,400,400,0.0,250.0,250,250,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500,500,0.0,300.0,300,300,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,0.0,-300.00000164,-0.044510386,385.0,1.0,1.0,600.0,350.04451,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600,600,0.0,349.999999614,350,350,0.0,0.0,5000.0,0.0,0.0
300.0,0.0,0.15,69.210526,0.0,-300.00000164,-0.044510386,354.21053,0.0,1.0,600.0,400.04451,0.0,1.0,0.0,0.0,0.0,0.0,49.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,650,650,0.0,399.999999614,400,400,0.0,5483500.0,5000.0,0.0,0.0
259.75,0.0,0.129875,80.789474,0.0,-300.00000164,-0.044510386,365.78947,0.0,1.0,600.0,450.04451,0.0,1.0,0.0,0.0,0.0,0.0,49.870125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,750.0,750,750,0.0,449.999999614,450,450,0.0,5485713.75,10005000.0,25171.62471395881,25171.62471395881
300.0,0.0,0.15,50.0,0.0,-300.00000164,-0.044510386,335.0,0.0,1.0,600.0,450.04451,0.0,1.0,0.0,0.0,0.0,0.0,149.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,850.0,850,850,0.0,449.999999614,450,450,0.0,16483500.0,10005000.0,25171.62471395881,25171.62471395881
270.75,0.0,0.135375,50.0,0.0,0.0,0.0,50.0,0.0,1.0,600.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,199.86462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,999.999995,1000,1000,0.0,500.0,500,500,0.0,21985108.2,25005000.0,25171.62471395881,25171.62471395881
