G_{{g_{UHE_{1}}}{p_{Ponta}}},G_{{g_{UHE_{1}}}{p_{Fora}}},Y_{g_{UHE_{1}}},X_{g_{UHE_{1}}},G_{{g_{UHE_{2}}}{p_{Ponta}}},G_{{g_{UHE_{2}}}{p_{Fora}}},Y_{g_{UHE_{2}}},X_{g_{UHE_{2}}},G_{{g_{UTE_{1}}}{p_{Ponta}}},G_{{g_{UTE_{1}}}{p_{Fora}}},Y_{g_{UTE_{1}}},X_{g_{UTE_{1}}},G_{{g_{UTE_{2}}}{p_{Ponta}}},G_{{g_{UTE_{2}}}{p_{Fora}}},Y_{g_{UTE_{2}}},X_{g_{UTE_{2}}},G_{{g_{SOL_{1}}}{p_{Ponta}}},G_{{g_{SOL_{1}}}{p_{Fora}}},Y_{g_{SOL_{1}}},X_{g_{SOL_{1}}},G_{{g_{EOL_{1}}}{p_{Ponta}}},G_{{g_{EOL_{1}}}{p_{Fora}}},Y_{g_{EOL_{1}}},X_{g_{EOL_{1}}},G_{{g_{Def_{1}}}{p_{Ponta}}},G_{{g_{Def_{1}}}{p_{Fora}}},Y_{g_{Def_{1}}},X_{g_{Def_{1}}},Ge_{{Total}_{Ponta}},Demand_{Ponta},Ge_{{Total}_{Fora}},Demand_{Fora},Cost_{var},Cost_{inv},CMO,CME
100.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,200.0,200,100.0,100,11000000.0,0.0,0.0,0.0
100.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,1.0,1.0,0.0,0.0,0.0,1.0,350.0,350,150.0,150,16500000.0,10000000.0,25171.62471395881,25171.62471395881
100.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,350.0,350,200.0,200,16500000.0,10000000.0,25171.62471395881,25171.62471395881
100.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,1.0,1.0,100.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0,400.0,400,250.0,250,11000000.0,25000000.0,25171.62471395881,25171.62471395881
100.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.0,100.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,500.0,500,300.0,300,22000000.0,25000000.0,25171.62471395881,25171.62471395881
100.0,0.0,0.0,1.0,500.0,350.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,600.0,600,350.0,350,0.0,100000000.0,25171.62471395881,25171.62471395881
100.0,0.0,0.0,1.0,500.0,400.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,650.0,650,400.0,400,0.0,100000000.0,0.0,0.0
100.0,0.0,0.0,1.0,500.0,450.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,750.0,750,450.0,450,0.0,100000000.0,0.0,0.0
100.0,0.0,0.0,1.0,500.0,350.0,0.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,850.0,850,450.0,450,5500000.0,100000000.0,0.0,0.0
100.0,0.0,0.0,1.0,500.0,500.0,0.0,1.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1000.0,1000,500.0,500,22000000.0,100000000.0,25171.62471395881,25171.62471395881
