D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},\Theta_{{CB}_{BAR_{1}}},\Theta_{{CB}_{BAR_{2}}},F_{{LT}_{LINE_{1}}},\Delta_{\Theta_{LT_{LINE_{1}}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},DemandBar_{b_{BAR_{2}}},DeficitBar_{b_{BAR_{2}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{def},Cost_{total},CMO
9.5,0.0,9.5,50.0,1,16.0,100.0,15.2,0.0,0.0,145.0,0.0,0.0,20.3,0.0,30.0,25.0,0.0,-0.3525,70.5,0.3525,100.0,20.0,0.0,80.0,0.0,100.0,0.0,203.0,0.0,203.0,10.0
0.0,0.0,0.0,50.0,2,47.351351,100.0,44.983784,0.0,33.351351,123.64865,30.016216,0.0,0.0,0.0,25.0,20.0,0.0,-0.48,96.0,0.48,120.0,24.0,0.0,96.0,0.0,120.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,3,60.0,76.555556,57.0,0.0,25.555556,108.09309,23.0,0.0,0.0,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,150.0,30.0,0.0,120.0,0.0,150.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,4,47.368421,45.187135,45.0,0.0,0.0,123.09309,0.0,0.0,0.0,0.0,30.0,25.0,0.0,-0.4,80.0,0.4,100.0,20.0,0.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,5,60.0,30.298246,57.0,0.0,31.111111,103.98198,28.0,0.0,0.0,0.0,25.0,10.0,0.0,-0.48,96.0,0.48,120.0,24.0,0.0,96.0,0.0,120.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,6,53.604552,20.0,50.924324,0.0,32.306306,81.675676,29.075676,0.0,0.0,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,150.0,30.0,0.0,120.0,0.0,150.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,7,32.108108,20.0,30.502703,0.0,16.108108,80.567568,14.497297,0.0,0.0,0.0,30.0,25.0,0.0,-0.4,80.0,0.4,100.0,20.0,0.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,50.0,8,37.567568,20.0,35.689189,0.0,23.567568,69.0,21.210811,0.0,28.1,0.0,25.0,10.0,0.0,-0.48,96.0,0.48,120.0,24.0,0.0,96.0,0.0,120.0,0.0,281.0,0.0,281.0,10.0
0.0,0.0,0.0,50.0,9,32.378378,20.0,30.759459,0.0,21.378378,57.621622,19.240541,0.0,30.0,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,150.0,30.0,0.0,120.0,0.0,150.0,0.0,300.0,0.0,300.0,10.0
0.0,0.0,0.0,50.0,10,26.702703,20.0,25.367568,0.0,10.702703,61.918919,9.6324324,0.0,30.0,0.0,25.0,10.0,0.0,-0.4,80.0,0.4,100.0000004,20.0,0.0,80.0,0.0,100.0,0.0,300.0,0.0,300.0,10.0
0.0,0.0,0.0,50.0,11,36.540541,20.0,34.713514,0.0,22.540541,51.378378,20.286486,0.0,30.0,0.0,25.0,10.0,0.0,-0.48,96.0,0.48,120.0,24.0,0.0,96.0,0.0,120.0,0.0,300.0,0.0,300.0,10.0
0.0,0.0,0.0,50.0,12,32.378378,20.0,30.759459,0.0,21.378378,40.0,19.240541,0.0,30.0,0.0,40.0,30.0,0.0,-0.6,120.0,0.6,150.0,30.0,0.0,120.0,0.0,150.0,0.0,300.0,0.0,300.0,10.0
