D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},U_{UT_{1}},Y_{UT_{1}},W_{UT_{1}},G_{t_{UT_{2}}},U_{UT_{2}},Y_{UT_{2}},W_{UT_{2}},G_{t_{UT_{3}}},U_{UT_{3}},Y_{UT_{3}},W_{UT_{3}},G_{t_{UT_{4}}},U_{UT_{4}},Y_{UT_{4}},W_{UT_{4}},G_{t_{UT_{5}}},U_{UT_{5}},Y_{UT_{5}},W_{UT_{5}},G_{t_{UT_{6}}},U_{UT_{6}},Y_{UT_{6}},W_{UT_{6}},G_{t_{UT_{7}}},U_{UT_{7}},Y_{UT_{7}},W_{UT_{7}},G_{t_{UT_{8}}},U_{UT_{8}},Y_{UT_{8}},W_{UT_{8}},G_{t_{UT_{9}}},U_{UT_{9}},Y_{UT_{9}},W_{UT_{9}},G_{t_{UT_{10}}},U_{UT_{10}},Y_{UT_{10}},W_{UT_{10}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},\Theta_{{CB}_{BAR_{1}}},\Theta_{{CB}_{BAR_{2}}},F_{{LT}_{LINE_{1}}},\Delta_{\Theta_{LT_{LINE_{1}}}},Ge_{Total},DemandBar_{b_{BAR_{1}}},DeficitBar_{b_{BAR_{1}}},DemandBar_{b_{BAR_{2}}},DeficitBar_{b_{BAR_{2}}},Demand_{Total},Deficit_{Total},Cost_{var},Cost_{start},Cost_{def},Cost_{t}
0.0,-150.00000149984567,-150.00000149984567,542.5000014352343,1,328.4739212385174,2499.537493883553,285.30989244628364,0.0,331.4382292456946,5001.789328491172,304.6901096027846,0.0,149.99999850015413,1,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.00000106712109,0.0,0.0,-0.20500000079886746,410.0000015977349,0.20500000079886746,700.0000001177483,140.0,0.0,560.0,0.0,700.0,0.0,3439.2999755015176,0.0,0.0,3439.2999755015176
0.0,-150.00000149984555,-150.00000149984555,685.0000028704682,2,377.344032919989,2498.935055365053,330.41817723932934,0.0,338.2874612787874,5003.657932149077,307.58182478486077,0.0,149.99999850015425,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,112.00000109182248,0.0,0.0,-0.2250000007988667,450.0000015977334,0.2250000007988667,750.0000001177467,150.0,0.0,600.0,0.0,750.0,0.0,3439.2999755015194,0.0,0.0,3439.2999755015194
0.0,-128.58398787568305,-128.58398787568305,807.1547913615184,3,532.0932623582536,2497.8115196205827,403.756134277579,0.0,374.458735614916,5005.881416445346,314.82785395471427,0.0,149.99999862316886,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.0000010998464,0.0,0.0,-0.26500000072380653,530.0000014476132,0.26500000072380653,850.0000000907929,170.0,0.0,680.0,0.0,850.0,0.0,3439.2999775326252,0.0,0.0,3439.2999775326252
0.0,-70.06453898662437,-70.06453898662437,873.7161034079636,4,532.1078196055869,2496.723931470022,403.6670833836086,0.0,374.47934648651324,5008.032878948568,314.8830095119996,0.0,196.51444512081375,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,105.00000104984639,0.0,0.0,-0.28174277747499293,563.4855549499858,0.28174277747499293,950.0000000908303,190.0,0.0,760.0,0.0,950.0,0.0,4200.105471555816,0.0,0.0,4200.105471555816
0.0,-65.03171083436952,-65.03171083436952,935.4962287097663,5,532.1228333560531,2495.6722892699586,403.58094995655597,0.0,374.49953055225507,5010.112322838655,314.93631437533844,0.0,246.51444558226086,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,100.00000099984639,0.0,0.0,-0.27674277724426366,553.4855544885273,0.27674277724426366,1000.0000000908112,200.0,0.0,800.0,0.0,1000.0,0.0,5020.238172501527,0.0,0.0,5020.238172501527
0.0,0.0,0.0,935.4962287138628,6,532.1495401792964,2494.656550925332,403.4977775990501,0.0,374.5224907492145,5012.119780216597,314.98777554738865,0.0,296.5144460681826,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,85.00000084984953,0.0,0.0,-0.29174277699635975,583.4855539927195,0.29174277699635975,1100.0000000828306,220.0,0.0,880.0,0.0,1100.0,0.0,5842.770874013678,0.0,0.0,5842.770874013678
0.0,0.0,0.0,935.4962287200822,7,532.1603790883288,2493.676773560633,403.41746275850414,0.0,374.54037251930737,5014.05521224024,315.0373781882081,0.0,311.5451579348008,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079984802,40.00000039984803,0.0,-0.30422742106538697,608.454842130774,0.30422742106538697,1150.0000000865823,230.0,0.0,920.0,0.0,1150.0,0.0,6090.505092060958,0.0,0.0,6090.505092060958
0.0,0.0,0.0,935.4962287256807,8,532.1780418108324,2492.732932610133,403.34009629319837,0.0,374.5596427248068,5015.918638476943,315.08513487807744,0.0,356.57476765832973,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,60.00000059984843,65.00000064984843,0.0,-0.3017126162029935,603.425232405987,0.3017126162029935,1200.0000000855705,240.0,0.0,960.0,0.0,1200.0,0.0,6833.975359658732,0.0,0.0,6833.975359658732
0.0,-18.39667670323161,-18.39667670323161,952.9730716029022,9,532.1887010955329,2491.8250532862075,403.26563217088597,0.0,374.5763644420652,5017.71004288889,315.1310391147924,0.0,405.0000040573348,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,55.0000005498464,90.0000008998464,0.0,-0.2974999980067241,594.9999960134481,0.2974999980067241,1250.000000090793,250.0,0.0,1000.0,0.0,1250.0,0.0,7635.682067287505,0.0,0.0,7635.682067287505
56.63064084152557,0.0,56.63064084152557,893.3618707088267,10,532.248799888889,2490.9529576066266,403.1942355243501,0.0,374.6065978402457,5019.429554816258,315.17511742714856,0.0,455.0000045478838,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,50.000000499861365,120.00000119986137,0.0,-0.3324999977457217,664.9999954914434,0.3324999977457217,1400.0000000654575,280.0,0.0,1120.0,0.0,1400.0,0.0,8465.822076033057,0.0,0.0,8465.822076033057
