T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},G_{t_{UT_{1}}},U_{UT_{1}},Y_{UT_{1}},W_{UT_{1}},G_{t_{UT_{2}}},U_{UT_{2}},Y_{UT_{2}},W_{UT_{2}},G_{t_{UT_{3}}},U_{UT_{3}},Y_{UT_{3}},W_{UT_{3}},G_{t_{UT_{4}}},U_{UT_{4}},Y_{UT_{4}},W_{UT_{4}},G_{t_{UT_{5}}},U_{UT_{5}},Y_{UT_{5}},W_{UT_{5}},G_{t_{UT_{6}}},U_{UT_{6}},Y_{UT_{6}},W_{UT_{6}},G_{t_{UT_{7}}},U_{UT_{7}},Y_{UT_{7}},W_{UT_{7}},G_{t_{UT_{8}}},U_{UT_{8}},Y_{UT_{8}},W_{UT_{8}},G_{t_{UT_{9}}},U_{UT_{9}},Y_{UT_{9}},W_{UT_{9}},G_{t_{UT_{10}}},U_{UT_{10}},Y_{UT_{10}},W_{UT_{10}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},Ge_{Total},Demand,Deficit,Cost_var,Cost_start,Cost_def,Cost_t
1,532.0504391766691,2498.8046184189834,403.8372760906346,0.0,374.4224338341241,5002.367460819228,314.7377520609896,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.00000109984897,0.0,0.0,-135.34213599664469,135.34213599664469,528.5750292059287,700.0000000780193,700.0,0.0,0.0,0.0,0.0,0.0
2,532.0640961804922,2497.645187672753,403.74236950903287,0.0,374.44389713721773,5004.662893535777,314.7966063944373,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,112.00000111984896,0.0,0.0,-84.77787049341181,84.77787049341181,609.1140061837867,750.000000078114,750.0,0.0,0.0,0.0,0.0,0.0
3,532.1401085672236,2496.521483281931,403.6506300087265,0.0,374.48258813918085,5006.886460609311,314.85364819120025,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.00000109986371,0.0,22.627074432715876,0.0,-22.627074432715876,585.2960330884873,850.0000000554571,850.0,0.0,0.0,0.0,0.0,0.0
4,532.154686164063,2495.4337264117603,403.5615223014493,0.0,374.50319495424634,5009.038005977661,314.9088021411852,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,105.0000010498637,0.0,133.18913107215795,0.0,-133.18913107215795,445.09694774114854,950.0000000556095,950.0,0.0,0.0,0.0,0.0,0.0
5,532.109150269143,2494.3821334708105,403.47510986911135,0.0,374.50611732639373,5011.117376896248,314.96207041720396,0.0,324.06282018495307,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,100.00000099984773,0.0,0.0,-150.00000148041676,150.00000148041676,587.5969491567454,1000.0000000792894,1000.0,0.0,6296.985080357046,4500.0,0.0,10796.985080357046
6,532.1290997427321,2493.3664687117553,403.391887930534,0.0,374.5271442270096,5013.124743936099,315.0135238111489,0.0,374.06282062714433,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,85.00000084984897,0.0,0.0,-81.5455085872199,81.5455085872199,665.0651823237193,1100.0000000780065,1100.0,0.0,7123.240103087142,0.0,0.0,7123.240103087142
7,532.1450408464405,2492.3867465647268,403.3115702735803,0.0,374.5464734467416,5015.060098778731,315.06312517821215,0.0,419.2171926545615,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079984896,40.00000039984897,0.0,-113.25462024777352,113.25462024777352,772.6570715682195,1150.0000000780076,1150.0,0.0,7871.483015415037,0.0,0.0,7871.483015415037
8,532.1614374554937,2491.442965389906,403.2341777080213,0.0,374.56537681870526,5016.923444597018,315.1108774038025,0.0,419.2171932201895,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,60.000000599848974,65.00000064984897,0.0,-65.85499948532176,65.85499948532176,835.219321088391,1200.0000000780233,1200.0,0.0,7871.483024800638,0.0,0.0,7871.483024800638
9,532.1782891248426,2490.5351235490753,403.1597122868582,0.0,374.583854639565,5018.714784561158,315.15678095345646,0.0,419.2171934167832,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,55.00000054984898,90.00000089984897,0.0,-34.245987406470945,34.245987406470945,867.7530091336541,1250.0000000780333,1250.0,0.0,7871.483028062893,0.0,0.0,7871.483028062893
10,532.2378852262174,2489.66306716228,403.0882902408946,0.0,374.6139284824036,5020.434230805429,315.20085534596353,0.0,455.00000454857474,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,50.000000499863695,120.0000011998637,59.695629678570214,0.0,-59.695629678570214,804.9155042006166,1400.0000000555337,1400.0,0.0,8465.822076059887,0.0,0.0,8465.822076059887
11,532.2556478458123,2488.8269468300537,403.0196638335147,0.0,374.63155515142563,5022.081677539123,315.24306456345334,0.0,455.00000454857474,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,45.0000004498637,140.0000013998637,149.19712129950784,0.0,-149.19712129950784,647.8659028244866,1500.0000000555344,1500.0,0.0,8465.822076059882,0.0,0.0,8465.822076059882
12,532.2738637967135,2488.0267609204047,402.95397022790036,0.0,374.64959977099664,5023.801124889609,315.28711455302533,0.0,455.00000454857474,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,40.000000399863694,160.00000159986368,28.16727231638539,0.0,-28.16727231638539,618.216142483222,1400.0000000555262,1400.0,0.0,8465.822076059894,0.0,0.0,8465.822076059894
13,532.2925326179319,2487.262507802999,402.8912111505809,0.0,374.6680620764104,5025.592572983552,315.3330049588492,0.0,449.9002751077036,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,40.000000399863694,170.0000016998637,23.026849171485676,0.0,-23.026849171485676,593.9773538734302,1400.0000000555067,1400.0,0.0,8381.042378045559,0.0,0.0,8381.042378045559
14,532.2814673376423,2486.534294520601,402.83133260469515,0.0,374.6783764854803,5027.455944110613,315.38072514788274,0.0,399.9002746091249,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,45.000000449848976,170.00000169984898,0.0,-34.85508888503716,34.85508888503716,627.0896883233326,1300.000000078066,1300.0,0.0,7551.147156268574,0.0,0.0,7551.147156268574
15,532.2657847231968,2485.878137695615,402.77735606388444,0.0,374.6875506191911,5029.391225753382,315.4302818049132,0.0,349.9002741105314,1,0,0,264.3920874357234,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,50.000000499829824,160.00000159982983,0.0,-150.00000149858693,150.00000149858693,769.5896897567849,1400.0000000910547,1400.0,0.0,12278.729348393523,5000.0,0.0,17278.72934839352
16,532.3139368377247,2484.8618075230174,402.69388583090057,0.0,374.7164906722567,5031.398576559571,315.48169857524596,0.0,399.90027447540035,1,0,0,314.3920879347947,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,55.00000054984898,130.00000129984898,0.0,-18.38731431529969,18.38731431529969,787.0576383654362,1600.00000007394,1600.0,0.0,13978.195731142903,0.0,0.0,13978.195731142903
17,532.3293645205881,2483.809421810761,402.6073497678626,0.0,374.736690101242,5033.477910187475,315.53494466314424,0.0,437.4656157913496,1,0,0,364.3920884340909,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,19.999999800422238,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,60.00000059984913,100.00000099984914,0.0,0.0,0.0,787.0576383741038,1700.0000000643583,1700.0,0.0,16293.046615038811,170.0,0.0,16463.04661503881
18,532.3928820975556,2482.7208074352293,402.51786369685874,0.0,374.77104478682406,5035.629348801786,315.5900397027767,0.0,455.0000045495296,1,0,0,414.39208893352605,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,30.000000302252307,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079988585,60.00000059988585,150.00000149926083,0.0,-150.00000149926083,629.1628999447853,1900.0000000371242,1900.0,0.0,17685.67098703254,0.0,0.0,17685.67098703254
19,532.4275724827816,2481.5960681743113,402.42531622220525,0.0,374.7977661587938,5037.852816104546,315.64696630201604,0.0,455.0000045497406,1,0,0,455.0000045497135,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,80.00000079883668,1,0,0,0.0,0,0,0,44.427705095714956,1,1,0,0.0,0,0,0,0.0,0,0,0,85.00000084990468,20.00000019990467,150.00000149966618,0.0,-150.00000149966618,471.268161514839,2000.0000000218502,2000.0,0.0,21369.385921392386,30.0,0.0,21399.385921392386
20,532.4092629179596,2480.4353948278244,402.32973365338506,0.0,374.8100278646128,5040.148173350732,315.70572214997986,0.0,455.00000454857474,1,0,0,449.69876401680875,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,100.0000009998637,0.0,81.33239437842366,0.0,-81.33239437842366,385.6551147924826,1800.0000000555635,1800.0,0.0,17260.31372614043,0.0,0.0,17260.31372614043
21,532.422752308933,2479.23867291953,402.23117389905144,0.0,374.8318205551676,5042.515500705039,315.7663177528357,0.0,0.0,0,0,1,399.69876351977024,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,105.0000010498637,0.0,81.37236189220557,0.0,-81.37236189220557,299.99999700298685,1300.00000005554,1300.0,0.0,7918.325980270919,0.0,0.0,7918.325980270919
22,532.4273113026447,2478.0059345988575,402.12960545185547,0.0,374.8514154068107,5044.918773930259,315.8278266848616,0.0,0.0,0,0,0,349.69876302122435,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,110.00000109984093,0.0,0.0,-81.74336440156723,81.74336440156723,377.65619319352675,1100.0000000861355,1100.0,0.0,7043.710309452491,0.0,0.0,7043.710309452491
23,532.4429983215479,2476.7371398049168,402.0250312734266,0.0,374.8744776025563,5047.35802060484,315.89025056662655,0.0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,112.00000111985644,0.0,73.77338637709008,0.0,-73.77338637709008,299.9999969989475,900.0000000567754,900.0,0.0,0.0,0.0,0.0,0.0
24,503.3224643359175,2475.5371789333135,398.93885784905933,0.0,368.68919388674493,5049.462700378458,315.7233705784026,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,85.33777168742341,0.0,0.0,0.0,0.0,299.9999970067814,800.0000001109696,800.0,0.0,0.0,0.0,0.0,0.0
